Incident_Nr,TimeReported,Activity,Disposition,Officer,Location
160000000009,Fri Jan 01 00:08:51 CST 2016,Fireworks,Verbal Warning,"Schwall, Will",Ladybird Ln/Craddock Ave
160000000012,Fri Jan 01 00:10:02 CST 2016,Accident - Minor,Blue Form Issue,"Osborne, Joseph",1101 Hwy 123
160000000017,Fri Jan 01 00:20:47 CST 2016,Disturbance - Noise,Verbal Warning,"Seals, Bradley",105 Pincea Pl
160000000021,Fri Jan 01 00:30:40 CST 2016,Fireworks,Verbal Warning,"Schwall, Will",927 Field St
160000000022,Fri Jan 01 00:30:56 CST 2016,Disturbance - Noise,Verbal Warning,"Royal, GeCorrie",617 Blanco St
160000000023,Fri Jan 01 00:31:43 CST 2016,Unconscious/Fainting,Patient Trans,"Poirier, Larry",124 N LBJ Dr
160000000027,Fri Jan 01 00:33:11 CST 2016,Accident - Hit and Run,Blue Form Issue,"Hartman, Ryan",312 Mill St
160000000031,Fri Jan 01 00:39:18 CST 2016,Public Assist,Arrest,"Osborne, Joseph",512 Craddock Ave
160000000034,Fri Jan 01 00:45:27 CST 2016,Assist Outside Agency,Verbal Warning,"Seals, Bradley",2769 N IH 35
160000000041,Fri Jan 01 01:00:56 CST 2016,Public Intoxication,Arrest,"Osborne, Joseph",120 E San Antonio St
160000000044,Fri Jan 01 01:15:35 CST 2016,Disturbance - Noise,Verbal Warning,"Kennedy, Kye",139 E Hopkins St
160000000047,Fri Jan 01 01:27:45 CST 2016,Disturbance - Noise,Verbal Warning,"Seals, Bradley",809 Conway Dr
160000000051,Fri Jan 01 01:39:49 CST 2016,Disturbance - Phys/Fight,Report,"Seals, Bradley",301 Telluride St
160000000067,Fri Jan 01 02:19:05 CST 2016,Accident - Hit and Run,Arrest,"Daenzer, Matthew",336 W Hopkins St
160000000068,Fri Jan 01 02:30:42 CST 2016,Viol City Ordinance,Verbal Warning,"Wisener, Andrew",1701 Hunter Rd
160000000076,Fri Jan 01 02:44:31 CST 2016,Viol City Ordinance,Verbal Warning,"Allen, Ashley",205 Craddock Ave
160000000083,Fri Jan 01 03:21:34 CST 2016,Suspicious Vehicle,Arrest,"Seals, Bradley",1111 Avalon Ave
160000000087,Fri Jan 01 03:27:28 CST 2016,Assault,Report,"Royal, GeCorrie",1408 Sunflower Ln
160000000094,Fri Jan 01 03:46:39 CST 2016,MIP - Alcohol,Verbal Warning,"Hartman, Ryan",1150 E River Ridge Pkwy
160000000100,Fri Jan 01 04:08:21 CST 2016,Attempt to Locate,Ref oth Agncy,,205 Nb35 IH
160000000102,Fri Jan 01 04:09:18 CST 2016,Disturbance - Verbal,Verbal Warning,"Hartman, Ryan",2913 Hunter Rd
160000000103,Fri Jan 01 04:20:22 CST 2016,Accident - Major/Injury,Blue Form Issue,"Royal, GeCorrie",Hwy 21/Hwy 80
160000000104,Fri Jan 01 04:23:31 CST 2016,Assault,Arrest,"Allen, Ashley",1655 Mill St
160000000117,Fri Jan 01 07:46:12 CST 2016,Public Intoxication,Arrest,"Mellon, Austin",512 Craddock Ave
160000000127,Fri Jan 01 09:54:32 CST 2016,Accident - Hit and Run,Blue Form Issue,"Mellon, Austin",1637 Post Rd
160000000137,Fri Jan 01 11:33:18 CST 2016,Theft,Arrest,"Beach, Brian",1015 Hwy 80
160000000139,Fri Jan 01 11:41:14 CST 2016,Accident - Minor,Blue Form Issue,"Stephens, Paul",4015 S IH 35
160000000157,Fri Jan 01 14:07:38 CST 2016,Mental Health Invest,Report,"Beach, Brian",Newberry Trl/Heart Ridge
160000000161,Fri Jan 01 14:19:18 CST 2016,Burglary - Habitation,Report,"Copeland, Kenneth",1415 Craddock Ave
160000000162,Fri Jan 01 14:26:02 CST 2016,Disturbance - Verbal,Arrest,"Mellon, Austin",1701 River Rd
160000000164,Fri Jan 01 14:42:48 CST 2016,Theft,Citation Issued,"Reeder, John",1015 Hwy 80
160000000168,Fri Jan 01 15:13:32 CST 2016,Viol City Ordinance,Verbal Warning,"Easterly, Evan",202 Sherwood Dr
160000000172,Fri Jan 01 15:43:48 CST 2016,Theft,Multiple Arrest,"Mellon, Austin",1015 Hwy 80
160000000202,Fri Jan 01 18:39:23 CST 2016,Accident - Minor,Report,"Bender, Joyce",102 N IH 35
160000000205,Fri Jan 01 19:01:07 CST 2016,Theft,Citation Issued,"Myers, Sam",1015 Hwy 80
160000000214,Fri Jan 01 19:49:35 CST 2016,Attempt to Locate,Verbal Warning,"Blackwood, Kevin",208 Nb35 IH
160000000235,Fri Jan 01 21:23:25 CST 2016,Accident - Major/Injury,Report,"Smith, Marcus",641 E Hopkins St
160000000254,Fri Jan 01 22:32:29 CST 2016,Vehicle Theft,Report,"Sparenberg, Andrew",2201 S Ih 35
160000000261,Fri Jan 01 23:04:46 CST 2016,Disturbance - Noise,Verbal Warning,"Contreras, Ysidro",1321 N IH 35
