Incident_Nr,TimeReported,Activity,Disposition,Officer,Location
170000000001,1/1/2017  12:00:35 AM,Viol City Ordinance,Verbal Warning,"Raven, Kassondra",600blk Mill St
,,,,,
170000000002,1/1/2017  12:01:06 AM,Fireworks,No Report,"Ellingson, Brian",1011 Wonder World Dr
,,,,,
170000000003,1/1/2017  12:01:11 AM,Fireworks,Cancelled,"Putnam, Justin",100blk North Fork Rd
,,,,,
170000000004,1/1/2017  12:02:41 AM,Fireworks,Verbal Warning,"Scott, Charles",222 Hay Barn St
,,,,,
170000000005,1/1/2017  12:05:19 AM,Public Intoxication,No Report,"Hartman, Ryan",120 E San Antonio St
,,,,,
170000000006,1/1/2017  12:05:21 AM,Burglary - Habitation,Report,"Wooten, Christopher",1111 Avalon Ave
,,,,,
170000000007,1/1/2017  12:05:36 AM,Fireworks,Cancelled,"Putnam, Justin",1640 Aquarena Springs Dr
,,,,,
170000000008,1/1/2017  12:06:03 AM,Fireworks,Verbal Warning,"Raven, Scott",1000blk Bandera St
,,,,,
170000000009,1/1/2017  12:06:46 AM,Fireworks,Verbal Warning,"Scott, Charles",106 Wainscot Oak Way
,,,,,
170000000010,1/1/2017  12:07:56 AM,Suspicious Vehicle,No Report,"Aubry, Patrick",4015 S IH 35
,,,,,
170000000011,1/1/2017  12:10:27 AM,Fireworks,Cancelled,,500BLK W Hopkins St
,,,,,
170000000012,1/1/2017  12:11:55 AM,Investigation,Verbal Warning,"Hartman, Ryan",120 E San Antonio St
,,,,,
170000000013,1/1/2017  12:15:40 AM,Fireworks,Cancelled,,1400blk Harper Dr
,,,,,
170000000014,1/1/2017  12:16:24 AM,Fireworks,Cancelled,,Vanessa St/Christopher St
,,,,,
170000000015,1/1/2017  12:16:35 AM,Fireworks,No Contact,"Raven, Scott",200blk Newberry Trl
,,,,,
170000000016,1/1/2017  12:17:24 AM,Fireworks,Cancelled,,100blk Azolar Dr
,,,,,
170000000017,1/1/2017  12:20:39 AM,Investigation,No Report,"Verver, Elias",120 E San Antonio St
,,,,,
170000000018,1/1/2017  12:20:50 AM,Fireworks,Cancelled,,100blk Wisteria Way
,,,,,
170000000020,1/1/2017  12:26:52 AM,Fireworks,Cancelled,,1109 San Marcos Pkwy
,,,,,
170000000021,1/1/2017  12:27:15 AM,Public Intoxication,Arrest,"Locke, Loy",120 E San Antonio St
,,,,,
170000000022,1/1/2017  12:28:08 AM,Assault,No Report,"Wooten, Christopher",1111 Avalon Ave
,,,,,
170000000023,1/1/2017  12:40:52 AM,Disturbance - Verbal,No Report,"Raven, Kassondra",1301 Wonder World Dr
,,,,,
170000000024,1/1/2017  12:49:40 AM,Attempt to Locate,No Contact,,201 Sb35 IH
,,,,,
170000000025,1/1/2017  12:51:54 AM,Public Intoxication,No Report,"Hartman, Ryan",141 E Hopkins St
,,,,,
170000000026,1/1/2017  12:52:30 AM,Fireworks,No Contact,"Raven, Scott",800blk River Rd
,,,,,
170000000027,1/1/2017  12:57:11 AM,Suspicious Circumstances,No Contact,"Wooten, Christopher",103 Riviera St
,,,,,
170000000028,1/1/2017  12:58:03 AM,Fireworks,Cancelled,,900blk Conway Dr
,,,,,
170000000029,1/1/2017  12:58:49 AM,Investigation,Arrest,"Cormier, Claudia",1550 N IH 35
,,,,,
170000000030,1/1/2017  1:00:23 AM,Welfare Concern,Cancelled,,126 S Guadalupe St
,,,,,
170000000032,1/1/2017  1:04:27 AM,Attempt to Locate,No Report,,201 Nb35 IH
,,,,,
170000000033,1/1/2017  1:04:52 AM,Attempt to Locate,No Report,"Sarver, Stephen",Hunter Rd/W Wonder World Dr
,,,,,
170000000034,1/1/2017  1:09:09 AM,Attempt to Locate,Arrest,"Wooten, Christopher",1303 S Ih 35
,,,,,
170000000036,1/1/2017  1:09:56 AM,Attempt to Locate,No Report,"Templeton, Brady",196 Nb35 Ih
,,,,,
170000000037,1/1/2017  1:10:59 AM,Public Intoxication,Verbal Warning,"Hartman, Ryan",100blk N Guadalupe St
,,,,,
170000000038,1/1/2017  1:11:17 AM,Public Intoxication,No Report,"Scott, Charles",216 E Hopkins St
,,,,,
170000000039,1/1/2017  1:13:09 AM,Welfare Concern,No Report,"Sarver, Stephen",421 W San Antonio St
,,,,,
170000000040,1/1/2017  1:18:58 AM,Disturbance - Verbal,No Report,"Raven, Scott",1321 N IH 35
,,,,,
170000000041,1/1/2017  1:19:36 AM,Burglary - Habitation,Report,"Aubry, Patrick",204 Cazador Dr
,,,,,
170000000042,1/1/2017  1:25:56 AM,Assist EMS,No Report,"Putnam, Justin",1601 Miller Trce
,,,,,
