Incident_Nr,TimeReported,Activity,Disposition,Officer,Location
170000000001,1/1/2017  12:00:35 AM,Viol City Ordinance,Verbal Warning,"Raven, Kassondra",600blk Mill St
170000000004,1/1/2017  12:02:41 AM,Fireworks,Verbal Warning,"Scott, Charles",222 Hay Barn St
170000000006,1/1/2017  12:05:21 AM,Burglary - Habitation,Report,"Wooten, Christopher",1111 Avalon Ave
170000000008,1/1/2017  12:06:03 AM,Fireworks,Verbal Warning,"Raven, Scott",1000blk Bandera St
170000000009,1/1/2017  12:06:46 AM,Fireworks,Verbal Warning,"Scott, Charles",106 Wainscot Oak Way
170000000012,1/1/2017  12:11:55 AM,Investigation,Verbal Warning,"Hartman, Ryan",120 E San Antonio St
170000000021,1/1/2017  12:27:15 AM,Public Intoxication,Arrest,"Locke, Loy",120 E San Antonio St
170000000029,1/1/2017  12:58:49 AM,Investigation,Arrest,"Cormier, Claudia",1550 N IH 35
170000000034,1/1/2017  1:09:09 AM,Attempt to Locate,Arrest,"Wooten, Christopher",1303 S Ih 35
170000000037,1/1/2017  1:10:59 AM,Public Intoxication,Verbal Warning,"Hartman, Ryan",100blk N Guadalupe St
170000000041,1/1/2017  1:19:36 AM,Burglary - Habitation,Report,"Aubry, Patrick",204 Cazador Dr
170000000050,1/1/2017  1:49:02 AM,Investigation,Verbal Warning,"Hartman, Ryan",100 N Guadalupe St
170000000052,1/1/2017  1:53:23 AM,Pedestrian Stop,Verbal Warning,"Hartman, Ryan",100BLK S Guadalupe St
170000000060,1/1/2017  2:12:45 AM,Investigation,Verbal Warning,"Verver, Elias",126 S Guadalupe St
170000000067,1/1/2017  2:31:59 AM,Viol City Ordinance,Citation Issued,"Hartman, Ryan",242 N Lbj Dr
170000000072,1/1/2017  2:50:10 AM,Disturbance - Noise,Citation Issued,"Smith, Austin",1703 N IH 35
170000000074,1/1/2017  3:04:39 AM,Theft,Refer To COPR,"Wooten, Christopher",1701 Mill St
170000000080,1/1/2017  3:13:16 AM,Viol City Ordinance,Verbal Warning,"Putnam, Justin",1150 E River Ridge Pkwy
170000000086,1/1/2017  3:43:34 AM,Burglary - Habitation,Report,"Smith, Austin",173 Cazador Dr
170000000088,1/1/2017  4:04:10 AM,Investigation,Citation Issued,"Aubry, Patrick",2101 Hwy 123
170000000090,1/1/2017  4:06:13 AM,Disturbance - Noise,Citation Issued,"Hartman, Ryan",1101 E River Ridge Pkwy
170000000092,1/1/2017  4:31:24 AM,Burglary - Habitation,Report,"Smith, Austin",202 Cazador Dr
170000000095,1/1/2017  4:38:54 AM,Burglary - Habitation,Report,"Aubry, Patrick",198 Cazador Dr
170000000099,1/1/2017  5:32:02 AM,Burglary - Vehicle,Refer To COPR,"Putnam, Justin",1111 Avalon Ave
170000000107,1/1/2017  9:25:24 AM,Wanted Person,Arrest,"Copeland, Kenneth",514 Fm 1979
170000000118,1/1/2017  11:41:00 AM,Animal Call,Ref oth Agncy,"Pierce, Basil",Gladney Dr/Harwood Dr
170000000136,1/1/2017  1:55:08 PM,Theft,Report,"Easterly, Evan",3939 S IH 35
170000000139,1/1/2017  2:05:01 PM,Assist EMS,Report,"Bulller, Zachery",1980 Aquarena Springs Dr
170000000149,1/1/2017  3:21:10 PM,Civil Standby,Report,"Copeland, Kenneth",121 BarBQ Way
170000000156,1/1/2017  4:03:47 PM,Public Intoxication,Arrest,"Templeton, Brady",1210 Wonder World Dr
170000000157,1/1/2017  4:07:26 PM,Accident - Minor,Blue Form Issue,"Wooten, Christopher",1015 Hwy 80
170000000160,1/1/2017  4:24:22 PM,Burglary - Habitation,Report,"Sarver, Stephen",1415 Craddock Ave
170000000169,1/1/2017  5:08:07 PM,Accident - Minor,Report,"Wooten, Christopher",E Hopkins St/W Access Rd
170000000176,1/1/2017  5:44:13 PM,Accident - Minor,Blue Form Issue,"Smith, Marcus",641 E Hopkins St
170000000180,1/1/2017  6:08:16 PM,Accident - Minor,Report,"Wooten, Christopher",1951 Aquarena Springs Dr
170000000186,1/1/2017  7:46:06 PM,Assault,Arrest,"Smith, Austin",1716 Hofheinz St
170000000188,1/1/2017  7:55:24 PM,Accident - Unknown,Report,"Wooten, Christopher",205 Sb35 IH
170000000194,1/1/2017  8:04:53 PM,Accident - Minor,Report,"Putnam, Justin",1212 Conway Dr
170000000207,1/1/2017  9:07:20 PM,Fireworks,Citation Issued,"Wooten, Christopher",1203 Uhland Rd
170000000208,1/1/2017  9:10:12 PM,Theft,Report,"Wooten, Christopher",650 River Rd
170000000212,1/1/2017  9:21:10 PM,Attempt to Locate,Ref oth Agncy,,200 Nb35 IH
170000000246,1/2/2017  1:35:07 AM,Suspicious Person,Arrest,"Smith, Austin",1850 Aquarena Springs Dr
170000000247,1/2/2017  1:39:32 AM,Viol City Ordinance,Verbal Warning,"Smith, Austin",1420 Old Ranch Road 12
170000000249,1/2/2017  1:53:56 AM,Accident - Hit and Run,Blue Form Issue,"Davidson, Travis",804 N LBJ Dr
170000000271,1/2/2017  8:27:42 AM,Accident - Major/Injury,Report,"Slaughter, Dustin",E Access Rd/Hwy 80
170000000276,1/2/2017  9:14:02 AM,Accident - Major/Injury,Blue Form Issue,"Cope, John",3500blk Hwy 123
170000000278,1/2/2017  9:14:49 AM,Traff/Transport Accident,Fire Call,"Turner, Tory",3600blk Hwy 123
170000000294,1/2/2017  11:02:32 AM,Burglary - Vehicle,Report,"Saavedra, Jesse",2517 S Ih 35
170000000302,1/2/2017  11:59:07 AM,Attempt to Locate,Ref oth Agncy,,Hwy 80/County Rd
170000000321,1/2/2017  1:07:44 PM,Supplement,Report,"Harrison, Todd",1111 Avalon Ave
170000000329,1/2/2017  1:54:48 PM,Assault,Report,"Slaughter, Dustin",1001 Hwy 123
170000000332,1/2/2017  2:35:56 PM,Assist Outside Agency,Report,"Derrickson, Jehu",1307 Uhland Rd
170000000334,1/2/2017  2:39:11 PM,Harassment,Ref oth Agncy,,2300 S Ih 35
170000000337,1/2/2017  2:53:07 PM,Burglary - Vehicle,Report,"Harrison, Todd",1600 N Ih 35
170000000340,1/2/2017  3:11:49 PM,Harassment,Report,"Cope, John",2300 S Ih 35
170000000354,1/2/2017  4:12:22 PM,Viol City Ordinance,Verbal Warning,"Tennant, Casey",806 Barbara Dr
170000000359,1/2/2017  4:31:16 PM,Suspicious Vehicle,Warning,"Roberts, Nelson",2661 N Ih 35
170000000367,1/2/2017  5:35:07 PM,Burglary - Habitation,Report,"Tennant, Casey",1150 E River Ridge Pkwy
170000000377,1/2/2017  7:41:33 PM,Burglary - Habitation,Report,"Tennant, Casey",1111 Avalon Ave
170000000390,1/2/2017  8:59:49 PM,Accident - Minor,Blue Form Issue,"Tennant, Casey",3209 N IH 35
170000000408,1/2/2017  10:38:21 PM,Attempt to Locate,Ref oth Agncy,,208 Nb35 IH
170000000420,1/2/2017  11:20:28 PM,Disturbance - Noise,Verbal Warning,"Osborne, Joseph",613 W San Antonio St
170000000429,1/3/2017  12:24:33 AM,Disturbance - Verbal,Report,"Tennant, Casey",201 Telluride St
170000000435,1/3/2017  1:09:45 AM,Viol City Ordinance,Verbal Warning,"Blackwood, Kevin",205 S C M Allen Pkwy
170000000440,1/3/2017  2:09:30 AM,Disturbance - Noise,Verbal Warning,"Allen, Ashley",1126 Gravel St
170000000451,1/3/2017  4:00:40 AM,Wanted Person,Arrest,"Wisener, Andrew",210 N Edward Gary St
170000000453,1/3/2017  5:11:06 AM,Burglary - Vehicle,Refer To COPR,"McGee, Miranda",1401 E Mccarty Ln
170000000499,1/3/2017  11:22:39 AM,Theft,Refer To COPR,"Slaughter, Dustin",912 Easton Dr
170000000503,1/3/2017  11:39:32 AM,Theft,Arrest,"Harrison, Todd",1015 Hwy 80
170000000508,1/3/2017  12:39:46 PM,Accident - Minor,Blue Form Issue,"Cope, John",1005 Hwy 80
170000000509,1/3/2017  12:48:51 PM,Accident - Minor,Blue Form Issue,,921 Hwy 80
170000000511,1/3/2017  12:59:23 PM,Trespassing/Unwanted,Warning,"Copeland, Kenneth",3939 S IH 35
170000000512,1/3/2017  1:01:13 PM,Accident - Minor,Blue Form Issue,"Slaughter, Dustin",900blk Hwy 80
170000000514,1/3/2017  1:17:19 PM,Theft,Report,"Harrison, Todd",2285 Airport Dr
170000000523,1/3/2017  1:55:46 PM,Theft,Arrest,"Copeland, Kenneth",1015 Hwy 80
170000000528,1/3/2017  2:07:59 PM,Burglary - Vehicle,Report,"Cope, John",1354 Thorpe Ln
170000000564,1/3/2017  4:49:24 PM,Suicide,Report,"Tureaud, Benjamin",1010 Tate Trl
170000000566,1/3/2017  5:00:19 PM,Harassment,Refer To COPR,"Elrod, Candace",320 Armstrong St
170000000575,1/3/2017  6:10:54 PM,Supplement,Report,"Elrod, Candace",2300 S Ih 35
170000000576,1/3/2017  6:31:36 PM,Theft,Report,"Stephens, Paul",3939 S IH 35
170000000580,1/3/2017  6:46:20 PM,Animal Call,Ref oth Agncy,,407 S Stagecoach Trl
170000000585,1/3/2017  7:03:05 PM,Disturbance - Verbal,Refer To COPR,"Tennant, Casey",765 River Rd
170000000612,1/3/2017  9:41:21 PM,Harassment,Refer To COPR,"Elrod, Candace",2300 S Ih 35
170000000620,1/3/2017  10:20:37 PM,Information,Report,"Seals, Bradley",1017 Haynes St
170000000642,1/3/2017  11:44:05 PM,Accident - Minor,Report,"Fischer, Vincent",500BLK Wonder World Dr
170000000649,1/4/2017  12:24:59 AM,Pedestrian Stop,Verbal Warning,"Hartman, Ryan",N LBJ Dr/E Hopkins St
170000000664,1/4/2017  1:38:19 AM,Disturbance - Noise,Verbal Warning,"Cyrus, Lance",650 E Hopkins St
170000000665,1/4/2017  1:40:12 AM,Pedestrian Stop,Citation Issued,"Hartman, Ryan",100 N Guadalupe St
170000000668,1/4/2017  1:46:05 AM,Viol City Ordinance,Verbal Warning,"Tennant, Casey",205 S C M Allen Pkwy
170000000673,1/4/2017  2:10:29 AM,Property - Lost/Found/Imp,Report,"Osborne, Joseph",San Antonio St/Guadalupe St
170000000676,1/4/2017  2:21:25 AM,Public Intoxication,Verbal Warning,"Hartman, Ryan",100BLK N Lbj Dr
170000000678,1/4/2017  2:33:12 AM,Accident - Unknown,Blue Form Issue,"Blackwood, Kevin",Cape Rd/Luciano Flores Blvd
170000000684,1/4/2017  2:50:05 AM,Disturbance - Noise,Verbal Warning,"Osborne, Joseph",2913 Hunter Rd
170000000695,1/4/2017  7:09:35 AM,Vehicle Theft,Report,"Bulller, Zachery",1811 Medical Pkwy
170000000733,1/4/2017  10:03:28 AM,Theft,Report,"Bulller, Zachery",912 Easton Dr
170000000747,1/4/2017  11:55:21 AM,Viol City Ordinance,Verbal Warning,"Bulller, Zachery",Hwy 80/Blanco River
170000000764,1/4/2017  1:02:37 PM,Mental Health Invest,Report,"Beach, Brian",1107 San Marcos Pkwy
170000000776,1/4/2017  2:00:32 PM,Accident - Minor,Blue Form Issue,"Easterly, Evan",2213 S IH 35
170000000777,1/4/2017  2:06:11 PM,Supplement,Report,"Follis, Brad",301 Foxtail Run
170000000791,1/4/2017  3:04:50 PM,Vehicle Theft,Report,"Easterly, Evan",2300 S Ih 35
170000000812,1/4/2017  4:58:59 PM,Attempt to Locate,Ref oth Agncy,,E Access Rd/Aquarena Springs Dr
170000000844,1/4/2017  7:41:57 PM,Viol City Ordinance,Verbal Warning,"Roberts, Chad",400 E Hopkins St
170000000858,1/4/2017  8:36:38 PM,Accident - Hit and Run,Report,"Gonzales, Gavin",913 N IH 35
170000000862,1/4/2017  8:46:16 PM,Assault - Aggravated,Multiple Arrest,"Gonzales, Gavin",1800 Post Rd
170000000873,1/4/2017  9:25:42 PM,Disturbance - Verbal,Arrest,"Wooten, Christopher",1107 Meredith St
170000000874,1/4/2017  9:42:16 PM,Mental Health Invest,Report,"Smith, Austin",101 E MLK Dr
170000000886,1/4/2017  11:04:27 PM,Accident - Minor,Blue Form Issue,"Aubry, Patrick",1004 Hwy 123
170000000888,1/4/2017  11:24:12 PM,Harassment,Warning,"Tureaud, Benjamin",1354 Thorpe Ln
170000000897,1/5/2017  12:26:36 AM,Suspicious Person,Verbal Warning,"Hartman, Ryan",800blk S Guadalupe St
170000000903,1/5/2017  1:28:40 AM,Suspicious Circumstances,Report,"Smith, Austin",834 W Hopkins St
170000000908,1/5/2017  2:39:23 AM,Suicidal Person,Report,"Davidson, Travis",1415 Craddock Ave
170000000915,1/5/2017  5:16:34 AM,Suspicious Vehicle,Report,"Aubry, Patrick",1321 N IH 35
170000000916,1/5/2017  5:21:12 AM,Burglary - Building,Report,"Smith, Austin",1011 N Ih 35
170000000921,1/5/2017  7:03:46 AM,Sexual Assault,Report,"Martinez, Lenny",1301 Wonder World Dr
170000000949,1/5/2017  10:08:14 AM,Vehicle Theft,Report,"Pierce, Basil",1304 Hwy 123
170000000952,1/5/2017  10:43:35 AM,Viol City Ordinance,Verbal Warning,"Castillo, Daniel",305 Laredo St
170000000960,1/5/2017  11:01:35 AM,Property - Lost/Found/Imp,Report,,2850 S IH 35
170000000968,1/5/2017  11:27:01 AM,Accident - Minor,Blue Form Issue,"Easterly, Evan",3939 S IH 35
170000000978,1/5/2017  11:48:11 AM,Supplement,Report,"Gibson, Kathryn",2300 S Ih 35
170000000995,1/5/2017  12:42:01 PM,Accident - Minor,Report,"Beach, Brian",209 N IH 35
170000000996,1/5/2017  12:44:25 PM,Animal Call,Ref oth Agncy,,Hunter Rd/Reimer Ave
170000001007,1/5/2017  1:27:15 PM,Accident - Minor,Blue Form Issue,"Raven, Scott",206 N C M Allen Pkwy
170000001017,1/5/2017  2:36:34 PM,Theft,Report,"Copeland, Kenneth",1702 Hunter Rd
170000001052,1/5/2017  6:40:39 PM,Theft,Report,"Raven, Kassondra",3939 S Ih 35
170000001055,1/5/2017  6:45:39 PM,Theft,Report,"Wooten, Christopher",1015 Hwy 80
170000001077,1/5/2017  8:30:09 PM,Controlled Substance,Arrest,"Smith, Austin",612 W Hutchison St
