Incident_Nr,TimeReported,Activity,Disposition,Officer,Location
180000000004,2018-01-01T00:06:42Z,Disturbance - Phys/Fight,Citation Issued,"Wooten, Christopher",139 E Hopkins St
180000000011,2018-01-01T00:31:39Z,Criminal Mischief,Refer To COPR,"Davidson, Travis",650 E Hopkins St
180000000038,2018-01-01T02:21:09Z,Threat,Report,"Gonzales, Gavin",2300 S IH 35
180000000039,2018-01-01T02:21:17Z,Assault,Report,"Wooten, Christopher",126 S Guadalupe St
180000000058,2018-01-01T04:31:38Z,Disturbance - Noise,Verbal Warning,"Davidson, Travis",1109 San Marcos Pkwy
180000000060,2018-01-01T05:01:27Z,Suspicious Circumstances,Arrest,"Gonzales, Gavin",617 W Hopkins St
180000000063,2018-01-01T05:34:54Z,Suspicious Person,Arrest,"Gonzales, Gavin",125 Elm Hill Ct
180000000067,2018-01-01T06:19:22Z,Disturbance - Phys/Fight,Report,"Royal, GeCorrie",1005 N IH 35
180000000068,2018-01-01T06:25:50Z,Disturbance - Noise,Verbal Warning,"Davidson, Travis",1101 San Marcos Pkwy
180000000083,2018-01-01T09:09:00Z,Disturbance - Phys/Fight,Report,"Sembera, Jeremy",1805 N IH 35
180000000114,2018-01-01T15:43:21Z,Theft,Refer To COPR,,1415 Craddock Ave
180000000124,2018-01-01T16:54:00Z,Harassment,Refer To COPR,"Cope, John",1410 Marlton St
180000000129,2018-01-01T17:36:12Z,Accident - Minor,Citation Issued,"Duckworth, Daniel",303 Lamar Ave
180000000139,2018-01-01T19:27:58Z,Suicidal Person,Ref oth Agncy,,2300 S IH 35
180000000169,2018-01-02T00:13:34Z,Disturbance - Phys/Fight,Arrest,"Alvarado, Manuel",815 N IH 35
180000000174,2018-01-02T00:39:39Z,Accident - Unknown,Report,"Tennant, Casey",204 Sb35 IH
180000000188,2018-01-02T04:25:09Z,Attempt to Locate,Ref oth Agncy,,208 NB
180000000192,2018-01-02T09:32:53Z,Theft,Report,"Harrison, Todd",1016 W MLK Dr
180000000216,2018-01-02T11:52:19Z,Assault,Report,"Harrison, Todd",713 Allen St
180000000227,2018-01-02T12:56:43Z,Information,Ref oth Agncy,,Scott St/Belvin St
180000000229,2018-01-02T13:06:14Z,Recovered Stolen Vehicle,Report,"Sparenberg, Andrew",E Access Rd/Blanco River
180000000243,2018-01-02T14:14:33Z,Theft,Arrest,"Sparenberg, Andrew",4015 S IH 35
180000000244,2018-01-02T14:16:46Z,Information,Ref oth Agncy,,Thorpe Ln/E Hopkins St
180000000251,2018-01-02T15:10:35Z,Theft,Report,"Daenzer, Matthew",1319 Andalucia Dr
180000000260,2018-01-02T15:42:48Z,Trespassing/Unwanted,Report,"Castillo, Daniel",1111 Avalon Ave
180000000262,2018-01-02T15:50:05Z,Vehicle Theft,Report,"Sembera, Jeremy",1180 Thorpe Ln
180000000265,2018-01-02T16:18:13Z,Criminal Mischief,Refer To COPR,"Fischer, Vincent",1354 Thorpe Ln
180000000266,2018-01-02T16:19:24Z,Burglary - Habitation,Refer To COPR,"Fischer, Vincent",1354 Thorpe Ln
180000000267,2018-01-02T16:47:47Z,Mental Health Invest,Report,"Bender, Joyce",1301 Wonder World Dr
180000000269,2018-01-02T16:54:20Z,Theft,Refer To COPR,"Crook, Daniel",1012 Hwy 123
180000000270,2018-01-02T17:01:23Z,Trespassing/Unwanted,Arrest,"Osborne, Joseph",105 N IH 35
180000000274,2018-01-02T17:21:15Z,Theft,Refer To COPR,"Fischer, Vincent",1201 Thorpe Ln
180000000302,2018-01-02T21:01:07Z,Mental Health Invest,Report,"McGee, Miranda",418 Field Corn Ln
180000000305,2018-01-02T21:43:17Z,Suicidal Person,Report,"Alvarado, Manuel",118 Lake Gln
180000000310,2018-01-02T22:43:27Z,Robbery - Agg,Report,"McGee, Miranda",1951 Aquarena Springs Dr
180000000326,2018-01-03T00:46:15Z,Suicidal Person,Report,"Alvarado, Manuel",210 N Edward Gary St
180000000345,2018-01-03T03:14:12Z,Suspicious Person,Arrest,"Alvarado, Manuel",245 Camaro Way
180000000346,2018-01-03T03:25:07Z,Disturbance - Phys/Fight,Report,"McGee, Miranda",1004 N IH 35
180000000356,2018-01-03T06:41:58Z,Accident - Major/Injury,Report,"Murphy, Logan",Robbie Ln/Thorpe Ln
180000000380,2018-01-03T09:13:37Z,Viol City Ordinance,Verbal Warning,"Raven, Scott",200blk S LBJ Dr
180000000414,2018-01-03T11:54:41Z,Fraud,Report,,2300 S IH 35
180000000417,2018-01-03T12:02:41Z,Attempt to Locate,Ref oth Agncy,,199 SB
180000000421,2018-01-03T12:10:27Z,Supplement,Refer To COPR,"Smith, Marcus",1420 S IH 35
180000000426,2018-01-03T12:24:07Z,Vehicle Theft,Report,"Easterly, Evan",1304 Hwy 123
180000000433,2018-01-03T12:39:48Z,Theft,Report,"Murphy, Logan",602 N IH 35
