"","address_canonical","property_name","longitude","latitude","value","owner_name","owner_address_1","owner_address_2","owner_address_3","owner_city","owner_state","owner_zip","ownership_percent","year"
"1","215 RAMSAY ST, SAN MARCOS, TX  78666","CHERRY HILL APTS",-97.9428551,29.8971425,197580,"215 RAMSAY LLC","801 W BLUEBONNET DR",NA,NA,"SAN MARCOS","TX","78666-3638",100,"2018"
"2","213 RAMSAY ST, SAN MARCOS, TX  78666","CHERRY HILL APTS",-97.943091,29.8971399,197740,"DEKRAKER DAVID P & J DAVID &","DOROTHY MAUD","1805 VICTORIA LN",NA,"BRUNSVILLE","MN","55337",100,"2018"
"3","1204 N LBJ DR, SAN MARCOS, TX  78666","STONEGATE APTS",-97.9440273,29.8964549,1271107,"SOULE SUZANNE RUBY","1010 SUNSET PL",NA,NA,"OJAI","CA","93023-2037",100,"2018"
"4","900 PEQUES, SAN MARCOS, TX  78666","TIMBERS APTS",-97.9364154,29.8929966,8256619,"TIMBERS CAPITAL PARTNERS LLC","12121 WILSHIRE BLVD","STE 700",NA,"LOS ANGELES","CA","90025-1168",100,"2018"
"5","800 LBJ DR N & FOREST DR, SAN MARCOS, TX  78666","TREEHOUSE APTS",-97.9403982,29.8927837,2299573,"NEXT DOOR APART-SAN MARCOS LLC","30277 VIA BORICA",NA,NA,"RANCHO PALOS VERDES","CA","90275",100,"2018"
"6","800 N LBJ DR, SAN MARCOS, TX  78666","TREEHOUSE APTS",-97.9403982,29.8927837,3751934,"NEXT DOOR APART-SAN MARCOS LLC","30277 VIA BORICA",NA,NA,"RANCHO PALOS VERDES","CA","90275",100,"2018"
"7","222 RAMSAY ST, SAN MARCOS, TX  78666","ICONIC VILLAGE",-97.9424985,29.8969013,3103680,"SAN MARCOS GREEN INVESTORS LLC","73 W MONROE ST","STE 507",NA,"CHICAGO","IL","60603-4910",100,"2018"
"8","222 RAMSAY ST, SAN MARCOS, TX  78666","ICONIC VILLAGE",-97.9424985,29.8969013,2156794,"SAN MARCOS GREEN INVESTORS LLC","73 W MONROE ST","STE 507",NA,"CHICAGO","IL","60603-4910",100,"2018"
"9","1224 N LBJ DR, SAN MARCOS, TX  78666","THE OAKS APTS",-97.9440699,29.8968115,1539537,"DONALD-NELL LLC &","JaRa LLC","P O BOX 639",NA,"WORLAND","WY","82401",100,"2018"
"10","1229 N LBJ DR, SAN MARCOS, TX  78666","LBJ APTS",-97.9448572,29.8964273,277080,"HUTCHISON FAMILY TRUST","HUTCHISON RALPH & CAROL TRUSTEES","1857 N 10TH DR",NA,"WASHBOUGAL","WA","98671",100,"2018"
"11","217 RAMSAY ST, SAN MARCOS, TX  78666","CHERRY HILL APTS",-97.9430059,29.8972797,200720,"217 RAMSAY LLC","801 W BLUEBONNET DR",NA,NA,"SAN MARCOS","TX","78666-3638",100,"2018"
"12","1223 W HOPKINS ST, SAN MARCOS, TX  78666","MALIBU APTS",-97.9535612,29.874867,208960,"BELVER TROY L JR & CAROLE A","1711 PALOMINO LN",NA,NA,"SAN MARCOS","TX","78666-1140",100,"2018"
"13","2917 HUNTER RD, SAN MARCOS, TX  78666","TWINLAKE APTS",-97.977742,29.846956,1463857,"MCINTYRE GILL & MARDELLE TRUST","P O BOX 627",NA,NA,"SAN MARCOS","TX","78667-0627",100,"2018"
