Incident_Nr,TimeReported,Activity,Disposition,Location
1.9E+11,10/22/19 0:36,Police Incoming Call,Ref oth Agncy,1301 Wonder World Dr
1.9E+11,10/22/19 2:30,Suspicious Circumstances,Report,3209 N IH 35
1.9E+11,10/22/19 7:55,Accident - Unknown,Report,Charles Austin Dr/Aquarena Springs Dr
1.9E+11,10/22/19 8:05,911 Abon/Misdial/Open,TDD Challenged,AXL05198 N SECTOR - AT&T MOBILITYOBILITY
1.9E+11,10/22/19 8:08,Accident - Minor,Report,Springtown Way/W Access Rd
1.9E+11,10/22/19 9:02,Trespassing/Unwanted,Arrest,609 Bracewood Cir
1.9E+11,10/22/19 9:03,Viol City Ordinance,Verbal Warning,200 W Hopkins St
1.9E+11,10/22/19 10:15,Theft,Report,2300 S IH 35
1.9E+11,10/22/19 10:38,Disturbance - Phys/Fight,Citation Issued,146 Segovia Rd
1.9E+11,10/22/19 11:30,Accident - Hit and Run,Report,179 S LBJ Dr
1.9E+11,10/22/19 11:40,Accident - Minor,Report,Centerpoint Rd/W Access Rd
1.9E+11,10/22/19 11:51,Suspicious Vehicle,Report,1703 N IH 35
1.9E+11,10/22/19 12:51,Trespassing/Unwanted,Citation Issued,338 S Guadalupe St
1.9E+11,10/22/19 13:35,Mental Health Invest,Report,1301 Wonder World Dr
1.9E+11,10/22/19 14:02,911 Abon/Misdial/Open,TDD Challenged,100 CHICO ST  - SE
1.9E+11,10/22/19 14:17,Harassment,Report,2300 S IH 35
1.9E+11,10/22/19 15:26,Accident - Minor,Report,Pat Garrison St/N Comanche St
1.9E+11,10/22/19 16:06,Accident - Minor,Blue Form Issue,W San Antonio St/Guadalupe St
1.9E+11,10/22/19 16:12,Theft,Citation Issued,1015 Hwy 80
1.9E+11,10/22/19 20:41,Suspicious Person,Warning,3939 S IH 35
1.9E+11,10/22/19 20:43,Disturbance - Phys/Fight,Report,801 River Rd
1.9E+11,10/22/19 21:35,911 Abon/Misdial/Open,TDD Challenged,AXL04087 NE SECTOR - AT&T MOBILITYMOBILI
1.9E+11,10/22/19 22:01,Accident - Minor,Blue Form Issue,202 NB
1.9E+11,10/22/19 22:18,Police Incoming Call,Refer To COPR,122 Bridlewood Dr
1.9E+11,10/22/19 22:52,Assault,Arrest,1006 Hwy 80
1.9E+11,10/22/19 22:53,Accident - Hit and Run,Blue Form Issue,2201 S IH 35
1.9E+11,10/22/19 23:19,Disturbance - Noise,Citation Issued,1701 Mill St
1.9E+11,10/23/19 1:38,911 Abon/Misdial/Open,Ref oth Agncy,402 Laurel Hill Rd
1.9E+11,10/23/19 7:10,Criminal Mischief,Refer To COPR,1811 Medical Pkwy
1.9E+11,10/23/19 7:25,Disturbance - Phys/Fight,Arrest,1606 Miller Trce
1.9E+11,10/23/19 9:12,Assault - Aggravated,Detention Juv,1301 Wonder World Dr
1.9E+11,10/23/19 9:16,Assist Outside Agency,Report,2300 S IH 35
1.9E+11,10/23/19 9:25,Missing Person,Report,2300 S IH 35
1.9E+11,10/23/19 10:12,Criminal Mischief,Refer To COPR,345 Champions Blvd
1.9E+11,10/23/19 10:24,Recovered Stolen Vehicle,Report,1011 Franklin Dr
1.9E+11,10/23/19 10:46,Theft,Refer To COPR,1980 Aquarena Springs Dr
1.9E+11,10/23/19 11:12,Welfare Concern,Arrest,3946 S IH 35
1.9E+11,10/23/19 11:56,911 Abon/Misdial/Open,TDD Challenged,AXL04087 W SECTOR - AT&T MOBILITYOBILITY
1.9E+11,10/23/19 13:15,911 Abon/Misdial/Open,TDD Challenged,AXL04023 W SECTOR - AT&T MOBILITYOBILITY
1.9E+11,10/23/19 14:03,Investigation,Report,1301 Hwy 123
1.9E+11,10/23/19 14:47,Accident - Minor,Report,205 NB
1.9E+11,10/23/19 14:52,911 Abon/Misdial/Open,TDD Challenged,202 Posey Rd
1.9E+11,10/23/19 16:17,Harass/Stalk/Thrt General,Refer To COPR,201 Telluride St
1.9E+11,10/23/19 16:22,Suicidal Person,Report,1010 Conway Dr
1.9E+11,10/23/19 17:58,Suicidal Person,Report,118 N Bishop St
1.9E+11,10/23/19 18:15,Suspicious Person,Arrest,1105 Hwy 123
1.9E+11,10/23/19 18:24,Accident - Minor,Report,205 SB
1.9E+11,10/23/19 19:01,Accident - Minor,Report,210 SB
1.9E+11,10/23/19 19:17,Mental Health Invest,Patient Trans,1301 Wonder World Dr
1.9E+11,10/23/19 19:34,Theft,Arrest,1015 Hwy 80
1.9E+11,10/23/19 19:52,Accident - Unknown,Report,N Edward Gary St/University Dr
1.9E+11,10/23/19 21:06,Fraud,Report,2300 S IH 35
1.9E+11,10/23/19 21:08,Accident - Minor,Report,S Guadalupe St/W MLK Dr
1.9E+11,10/23/19 21:12,Theft,Arrest,905 Hwy 80
1.9E+11,10/23/19 21:39,Suicidal Person,Report,121 Craddock Ave
1.9E+11,10/23/19 21:45,Accident - Hit and Run,Arrest,512 Craddock Ave
1.9E+11,10/23/19 23:05,Accident - Hit and Run,Blue Form Issue,1410 N LBJ Dr
1.9E+11,10/24/19 1:25,Accident - Unknown,Arrest,201 SB
1.9E+11,10/24/19 2:42,Assault,Multiple Arrest,200 Springtown Way
1.9E+11,10/24/19 3:46,Suspicious Person,Arrest,101 University Dr
1.9E+11,10/24/19 4:32,Disturbance - Noise,Verbal Warning,414 W San Antonio St
1.9E+11,10/24/19 5:22,Theft,Report,600 Wonder World Dr
1.9E+11,10/24/19 9:34,911 Abon/Misdial/Open,Report,1007 Sagewood Trl
1.9E+11,10/24/19 9:48,911 Abon/Misdial/Open,Ref oth Agncy,2800 Hwy 21
1.9E+11,10/24/19 10:25,Wanted Person,Arrest,1302 W Hopkins St
1.9E+11,10/24/19 10:41,Accident - Minor,Blue Form Issue,1501 Aquarena Springs Dr
1.9E+11,10/24/19 10:58,Attempt to Locate,Ref oth Agncy,EXIT 204A SB
1.9E+11,10/24/19 11:42,Assault,Arrest,2601 Rattler Rd
1.9E+11,10/24/19 12:15,Accident - Minor,Blue Form Issue,Wonder World Dr/E Access Rd
1.9E+11,10/24/19 12:31,Fraud,Ref oth Agncy,2300 S IH 35
1.9E+11,10/24/19 12:50,Accident - Major/Injury,Report,E Access Rd/Hwy 123
1.9E+11,10/24/19 13:00,Accident - Minor,Blue Form Issue,E Access Rd/Hwy 123
1.9E+11,10/24/19 13:09,Accident - Hit and Run,Blue Form Issue,515 Springtown Way
1.9E+11,10/24/19 14:01,Accident - Minor,Blue Form Issue,1901 N IH 35
1.9E+11,10/24/19 14:31,911 Abon/Misdial/Open,TDD Challenged,AXL00683 NE SECTOR - AT&T MOBILITYMOBILI
