"address_canonical","property_name","longitude","latitude","value","owner_name","owner_address_1","owner_address_2","owner_address_3","owner_city","owner_state","owner_zip","ownership_percent","year"
"100 JACKMAN ST, SAN MARCOS, TX  78666","HERITAGE SQUARE APTS",-97.9463575,29.8783436,755662,"ROEDMOK LLC","800 HWY 290 W BLDG A STE 100",NA,NA,"DRIPPING SPRINGS","TX","78620",100,"2019"
"100 WARDEN, SAN MARCOS, TX  78666","STADIUM VIEW APTS",-97.9213257,29.8916034,3796368,"CRISMIER CHARLES III & KATHLEEN M LIVING TRUST","CRISMIER CHARLES III & KATHLEEN M TRUSTEES","209 DRYDEN LN",NA,"RICHMOND","VA","23229",100,"2019"
"1000 N LBJ DR, SAN MARCOS, TX  78666","VINTAGE PADS",-97.9422824,29.8952581,2128813,"SAN MARCOS GREEN INVESTORS LLC","73 W MONROE ST","STE 507",NA,"CHICAGO","IL","60603-4910",100,"2019"
"1001 LEAH AVE, SAN MARCOS, TX  78666","PARK HILL APTS",-97.9473682,29.8557289,15786637,"PARK HILL SM LLC & PRUDENTIAL INVESTMENT PROPERTIES LLC","% VENKAT MALLYA","10708 PURSLANE CV",NA,"AUSTIN","TX","78733-5753",100,"2019"
"101-109 CRADDOCK AVE, SAN MARCOS, TX  78666","BISHOP'S SQUARE",-97.9542188,29.9032433,17244146,"HSRE-SC LLC","PO BOX 530292",NA,NA,"MOUNTAIN BROOK","AL","35253-0292",100,"2019"
"1011 N LBJ, SAN MARCOS, TX  78666","PEACHTREE LOFTS",-97.9437519,29.8950015,1686848,"FRY VENTURES LLC","DBA PEACHTREE LOFTS","23165 HANGING OAK",NA,"SAN ANTONIO","TX","78266",100,"2019"
"1011 WONDER WORLD DR, SAN MARCOS, TX  78666","PALAZZO APTS II",-97.9506411,29.8558844,32143356,"PALAZZO PARTNERS LP","1025 KANE CONCOURSE","STE 215",NA,"BAY HARBOR ISLANDS","FL","33154-2118",100,"2019"
"1021 CHESTNUT ST, SAN MARCOS, TX  78666","CHESTNUT PLACE",-97.9444104,29.8944563,1107679,"CHESTNUT PLACE LIMITED LLP","Attn: DENNIS J DUNN","2620 SUMMIT RIDGE DR",NA,"SAN MARCOS","TX","78666-4946",100,"2019"
"103 SMITH LN, SAN MARCOS, TX  78666","CHAPARRAL APTS",-97.9283248,29.8749505,385950,"SAM R ISAACS RANCH LTD","4300 LIME KILN RD",NA,NA,"SAN MARCOS","TX","78666",100,"2019"
"104 MOSSCLIFF CIR, SAN MARCOS, TX  78666","CORNER STONE APTS",-97.914983,29.90298,612000,"JUDY CRAIG A & BONGI-JUDY PATRICIA","2 PHYLLIS CT",NA,NA,"BELMONT","CA","94002",100,"2019"
"109 WEST AVE, SAN MARCOS, TX  78666","UNIVERSITY SPRINGS APTS",-97.9175491,29.8950338,22615836,"29SC RESERVE LP","% 29TH STREET MANAGEMENT LLC","ATTN: JOHN PRICE","1301 CAPITAL OF TEXAS HWY; SUITE B-340","AUSTIN","TX","78746",100,"2019"
"109 WINDMILL, SAN MARCOS, TX  78666","WINDMILL PLAZA APTS",-97.945865,29.8948257,2092220,"WINDMILL, TOWNHOMES LTD","1360 PATTERSON RD",NA,NA,"AUSTIN","TX","78733-6501",100,"2019"
"1101 E RIVER RIDGE PKWY, SAN MARCOS, TX  78666","THE HEIGHTS II",-97.8987897,29.9044705,26145589,"UNIVERSITY HEIGHTS II SAN MARCOS APARTMENTS","1101 E RIVER RIDGE PKWY",NA,NA,"SAN MARCOS","TX","78666-0003",100,"2019"
"1101 LEAH AVE, SAN MARCOS, TX  78666","CEDARS OF SAN MARCOS",-97.948598,29.854549,13166618,"RR CEDARS OWNER LLC","4600 E WEST HWY","STE 610",NA,"BETHESDA","MD","20814-3668",100,"2019"
"1109 SAN MARCOS PKWY, SAN MARCOS, TX  78666","FLORENCIA VILLAS",-97.948821,29.857114,5187221,"FLORENCE APARTMENTS LLC","1147 S ROBERTSON BLVD","STE 203",NA,"LOS ANGELAS","CA","90035",100,"2019"
"1111 AVALON PKWY, SAN MARCOS, TX  78666","THE AVENUE APTS.",-97.8997289,29.907178,34150400,"CD/PARK 7 SAN MARCOS OWNER LP","Attn: MR. PAUL LEVINE","461 PARK AVE S","FL 4","NEW YORK","NY","10016-6822",100,"2019"
"1111 N LBJ DR, SAN MARCOS, TX  78666","AUDREY OAKS APTS",-97.9439848,29.8952901,612589,"HOKE WARREN","225 CAMARO WAY",NA,NA,"SAN MARCOS","TX","78666-3035",100,"2019"
"112 WEST AVE, SAN MARCOS, TX  78666","WESTFIELD APTS",-97.916029,29.8952218,4650425,"AHF-WESTFIELD LLC","4770 IBERIA AVE","STE 100",NA,"DALLAS","TX","75207",100,"2019"
"1150 RIVER RIDGE PKWY, SAN MARCOS, TX  78666","THE GROVE",-97.9006512,29.9030158,2.4e+07,"CAMPUS CREST AT SAN MARCOS LP","- ASSET CAMPUS HOUSING","950 CORBINDALE RD","STE 300","HOUSTON","TX","77024-2849",100,"2019"
"117 SEGUIN ST, SAN MARCOS, TX  78666","VILLAGE GREEN APTS",-97.9189349,29.8978759,2123888,"ROSE VILLAGE GREEN APTS LP","% IRWIN R ROSE & CO INC","P O BOX 40879",NA,"INDIANAPOLIS","IN","46240-0879",100,"2019"
"1201 THORPE LN, SAN MARCOS, TX  78666","ALLEN WOOD HOMES",-97.924538,29.8884693,9104680,"SAN MARCOS CITY OF","630 E HOPKINS ST",NA,NA,"SAN MARCOS","TX","78666",100,"2019"
"1204 N LBJ DR, SAN MARCOS, TX  78666","STONEGATE APTS",-97.9440273,29.8964549,1541493,"STONEGATE LONE STAR LLC","1010 SUNSET PL",NA,NA,"OJAI","CA","93023",100,"2019"
"121 CRADDOCK AVE, SAN MARCOS, TX  78666","METROPOLITAN APTS",-97.9567834,29.9020933,8e+06,"MET APARTMENTS GC LLC &","MET APARTMENTS IW LLC","121 CRADDOCK AVENUE",NA,"SAN MARCOS","TX","78666",100,"2019"
"1223 W HOPKINS ST, SAN MARCOS, TX  78666","MALIBU APTS",-97.9535612,29.874867,213455,"BELVER TROY L JR & CAROLE A","1711 PALOMINO LN",NA,NA,"SAN MARCOS","TX","78666-1140",100,"2019"
"1224 N LBJ DR, SAN MARCOS, TX  78666","THE OAKS APTS",-97.9440699,29.8968115,1881237,"DONALD-NELL LLC &","JaRa LLC","P O BOX 639",NA,"WORLAND","WY","82401",100,"2019"
"1229 N LBJ DR, SAN MARCOS, TX  78666","LBJ APTS",-97.9448572,29.8964273,277080,"HUTCHISON FAMILY TRUST","HUTCHISON RALPH & CAROL TRUSTEES","1857 N 10TH DR",NA,"WASHBOUGAL","WA","98671",100,"2019"
"1230 N LBJ DR, SAN MARCOS, TX  78666","HILL COUNTRY APTS",-97.944006,29.8973765,8711740,"SAN MARCOS GROSS FAMILY LP","4709 HILLSBORO CIR",NA,NA,"SANTA ROSA","CA","95405-8776",100,"2019"
"1249 N LBJ DR, SAN MARCOS, TX  78666","MONARCH APRAPTMENTS",-97.946283,29.8974861,675340,"SM MONARCH APT LP","1601 RIO GRANDE ST",NA,NA,"AUSTIN","TX","78701",100,"2019"
"1250 SADLER DR, SAN MARCOS, TX  78666","CABANA BEACH",-97.9497243,29.8505266,29914140,"THP CABANA BEACH SAN MARCOS LLC","1700 HILLSBOROUGH ST",NA,NA,"RALEIGH","NC","27605",100,"2019"
"1255 N LBJ DR, SAN MARCOS, TX  78666","ALEXIS SQUARE APTS",-97.9466235,29.8978696,322830,"PLOEGER, SALLY J","P O BOX 173",NA,NA,"SAN MARCOS","TX","78667-0173",100,"2019"
"126 SCOTT ST, SAN MARCOS, TX  78666","SCOTT STREET APTS",-97.9477726,29.8797962,467512,"OMAIS INVESTMENTS LLC","828 LAGO VISTA ST",NA,NA,"SAN MARCOS","TX","78666-9550",100,"2019"
"1271 SADLER DR, SAN MARCOS, TX 78666","SADLER HOUSE APARTMENTS",-97.9493097,29.8489577,26641199,"HAYDEN FIFTH AVENUE LLC","Attn: ASHLEY HAYDEN","3 MONROE PKWY",NA,"LAKE OSWEGO","OR","97035",100,"2019"
"130 JACKSON LN, SAN MARCOS, TX  78666","THE COURTYARD",-97.9176456,29.8909041,995000,"GREENLAND E B & LAMUETTE L LIVING TR","Attn: EDGAR BRUCE GREENLAND","2713 CRANE TRACE CIR",NA,"ORLANDO","FL","32837-6990",100,"2019"
"1348 THORPE LN, SAN MARCOS, TX  78666","SUMMIT APTS",-97.919577,29.889011,6432878,"SUMMIT SAN MARCOS LLC","24708 TRAVIS LAKESIDE CV",NA,NA,"SPICEWOOD","TX","78669-1442",100,"2019"
"1350 N LBJ DR, SAN MARCOS, TX  78666","HILLSIDE RANCH APTS",-97.9450275,29.8991107,32283406,"GEM HILLSIDE RANCH LP","10999 IH 10 WEST #905",NA,NA,"SAN ANTONIO","TX","78230",100,"2019"
"1350 SADLER DR, SAN MARCOS, TX  78666","SPRINGMARC APTS",-97.950305,29.8488604,26218118,"BREIT STEADFAST MF SPRINGMARC TX LP","% BREIT STEADFAST MF JV LP","345 PARK AVENUE",NA,"NEW YORK","NY","10154",100,"2019"
"1350 WONDER WORLD DR, SAN MARCOS, TX  78666","ASBURY PLACE APTS",-97.9460597,29.8496205,3638232,"JACKSON COMMUNITY APARTMENTS LP","2905 NORTHWEST BLVD","STE 150",NA,"PLYMOUTH","MN","55441",100,"2019"
"1351 THORPE LN, SAN MARCOS, TX  78666","THE HAVEN AT THORPE LANE",-97.9208265,29.8911432,17154680,"HAVEN AT THORPE LANE LLC","675 BERING","STE 550",NA,"HOUSTON","TX","77057",100,"2019"
"1354 THORPE LN, SAN MARCOS, TX  78666","UPTOWN SQUARE APTS",-97.9187444,29.8896297,40158730,"SAN MARCOS STUDENT LIVING DST","PO BOX 3666","ATTN: PROPERTY TAX DEPT",NA,"OAK BROOK","IL","60522-3666",100,"2019"
"1360 THORPE LN, SAN MARCOS, TX  78666","PALM SQUARE APTS",-97.9187213,29.8911934,3412725,"1360 PALM SQUARE LLC","2269 CHESTNUT ST","# 224",NA,"SAN FRANCISCO","CA","94123-2600",100,"2019"
"1400 CLAREWOOD DR, SAN MARCOS, TX  78666","CLAREWOOD APTS",-97.9184835,29.8807531,8746353,"CLAREWOOD PARTNERS LTD","Attn: MERGE MANAGEMENT","270 N DENTON TAP RD","STE 100","COPPELL","TX","75019-2133",100,"2019"
"1409 BISHOP ST, SAN MARCOS, TX  78666","BISHOP CORNER APTS",-97.9663104,29.8834587,461160,"PP-BMS HOLDINGS LLC","1409 N BISHOP ST","STE A-1",NA,"SAN MARCOS","TX","78666-2676",100,"2019"
"1410 MARLETON ST, SAN MARCOS, TX  78666",NA,-97.9653951,29.8790016,190170,"E & T REAL ESTATE LLC","142 CIMARRON PARK LOOP","STE A",NA,"BUDA","TX","78610-2837",100,"2019"
"1410 N LBJ DR, SAN MARCOS, TX  78666","THE COTTAGES AT HILLSIDE RANCH",-97.9472177,29.8997798,21040750,"GS SML LP","1410 N LBJ DR",NA,NA,"SAN MARCOS","TX","78666-3022",100,"2019"
"1415 CRADDOCK AVE, SAN MARCOS, TX  78666","COTTAGE OF SAN MARCOS",-97.9692692,29.8833022,35700000,"JEFFERSON LOFT LLC","ONE LIBERTY PLZ","BLDG 65",NA,"NEW YORK","NY","10006-1404",100,"2019"
"142 WINDMILL DR, SAN MARCOS, TX  78666","LARKSPUR TOWNHOMES",-97.9462051,29.8935085,2351951,"LARKSPUR, TOWNHOMES LTD","1360 PATTERSON RD",NA,NA,"AUSTIN","TX","78733-6501",100,"2019"
