"Situs","ref_id","SitusLocation","CurrMarketValue","lon","lat","OwnerName","Address1","Address2","Address3","City","State","Zip","OwnershipPercent"
"605 W HUTCHISON ST, SAN MARCOS, TX  78666","R35222","APARTMENTS 605",1180243,-97.9483259,29.8811547,"605 APARTMENTS LLC","26411 TOWNSHIP ST",NA,NA,"SANTA CLARITA","CA","91350-1864",100
"1750/1754 RIVER RD, SAN MARCOS, TX  78666","R100110","RIVER RIDGE APTS",1618300,-97.908644,29.883319,"RIVER RIDGE LLC","9663 SANTA MONICA BLVD","# 462",NA,"BEVERLY HILLS","CA","90210-4303",100
"1640 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","R12020","AQUA 16",7793405,-97.9162629,29.8919175,"1640 AQUARENA SPRINGS LLC","600 CONGRESS AVE","STE 1400",NA,"AUSTIN","TX","78701-3234",100
"650 RIVER RD, SAN MARCOS, TX  78666","R143800","THE WOODS APTS",42600000,-97.9289843,29.8719247,"WOODS OF SAN MARCOS LLC","% SCION GROUP","444 N MICHIGAN AVE","STE 2600","CHICAGO","IL","60611-3998",100
"100 WARDEN, SAN MARCOS, TX  78666","R25563","STADIUM VIEW APTS",3796368,-97.9213257,29.8916034,"CRISMIER CHARLES III & KATHLEEN M LIVING TRUST","CRISMIER CHARLES III & KATHLEEN M TRUSTEES","209 DRYDEN LN",NA,"RICHMOND","VA","23229",100
"1111 AVALON PKWY, SAN MARCOS, TX  78666","R137845","THE AVENUE APTS.",34150400,-97.8997289,29.907178,"CD/PARK 7 SAN MARCOS OWNER LP","Attn: MR. PAUL LEVINE","461 PARK AVE S","FL 4","NEW YORK","NY","10016-6822",100
"1350 N LBJ DR, SAN MARCOS, TX  78666","R137806","HILLSIDE RANCH APTS",32283406,-97.9450275,29.8991107,"GEM HILLSIDE RANCH LP","10999 IH 10 WEST #905",NA,NA,"SAN ANTONIO","TX","78230",100
"800 N LBJ DR, SAN MARCOS, TX 78666","R10364","TREEHOUSE APTS",10278591,-97.9403982,29.8927837,"NEXT DOOR APART-SAN MARCOS LLC","10227 VIA BORICA",NA,NA,"RANCHO PALOS VERDES","CA","90275",100
"1612 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","R12275","STATE FLATS",3030769,-97.916172,29.89191,"1640 AQUARENA SPRINGS LLC","600 CONGRESS AVE","STE 1400",NA,"AUSTIN","TX","78701-3234",100
"435 N COMANCHE ST, SAN MARCOS, TX  78666","R53147","LINDSEY OAKS APTS",1105979,-97.9447508,29.8860399,"LINDSEY SQUARE LTD","% DUNN","2620 SUMMIT RIDGE DR",NA,"SAN MARCOS","TX","78666-4946",100
