observation_date,address,management_company,lease_type,act_ally,units,beds,rent_1bdr,sqft_1bdr,rent_2bdr,sqft_2bdr,rent_3bdr,sqft_3bdr,rent_4bdr,sqft_4bdr,rent_5bdr,sqft_5bdr,rent_6bdr,sqft_6bdr
2/25/20,"600 LEAH AVE, SAN MARCOS, TX  78666",Banfield Properties,traditional,False,78,,1200,771,773.75,528,,,,,,,,
2/25/20,"1230 N LBJ DR, SAN MARCOS, TX  78666",Arbor Property Management,traditional,False,120,200,899,545,524.5,372.5,,,,,,,,
2/25/20,"1900 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666",Eenhoorn,traditional,True,203,200,1100,645,518,498,570,372,,,,,,
2/25/20,"222 RAMSAY ST, SAN MARCOS, TX  78666",Elevate Multi-family,by-the-bed,False,64,120,839,546,515,788,,,,,,,,
2/25/20,"817 CHESTNUT ST, SAN MARCOS, TX  78666",Vie Management ,by-the-bed,True,75,252,1289,471,789,426,,,732,340,,,,
2/25/20,"1271 SADLER DR, SAN MARCOS, TX 78666",Hayden Properties,traditional,False,240,351,1167,752,833,511,,,,,,,,
2/25/20,"1617 POST RD, SAN MARCOS, TX  78666",Privately owned ,traditional,False,58,88,600,400,,,,,338,341,,,,
2/25/20,"1506 S IH 35, SAN MARCOS, TX  78666",Greystone Rents,traditional,False,220,528,,,473,535,366,429,,,,,,
2/25/20,"755 RIVER RD, SAN MARCOS, TX  78666",The Leaf Group,traditional,False,12,36,,,,,375,367,,,,,,
2/25/20,"250 S STAGECOACH TRL, SAN MARCOS, TX  78666",Eenhoorn,by-the-bed,False,180,360,891,711,553,520,398,432,,,,,,
2/25/20,"512 CRADDOCK AVE, SAN MARCOS, TX  78666",American Campus Communities,by-the-bed,True,187,780,,,844,699,761,465,724,489,667,451,,
2/25/20,"225 RAMSEY ST, SAN MARCOS, TX  78666",Arbor Property Management,by-the-bed,False,42,125,342,482,685,964,620,1236,,,,,,
2/25/20,"1951 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666",Sandalwood Management,traditional,False,160,304,885,700,525,475,392,350,,,,,,
2/25/20,"900 PEQUES, SAN MARCOS, TX  78666",Peak Campus,by-the-bed,False,155,253,949,578,639,415,529,355,,,,,,
