DEBUG:root:1307 UHLAND RD, SAN MARCOS, TX 78666
DEBUG:root:204 SB35 IH, SAN MARCOS, TX 78666
DEBUG:root:501 CENTER ST, SAN MARCOS, TX 78666
DEBUG:root:306 DURANGO ST, SAN MARCOS, TX 78666
DEBUG:root:338 GUADALUPE ST, SAN MARCOS, TX 78666
DEBUG:root:201 TELLURIDE ST, SAN MARCOS, TX 78666
DEBUG:root:204 SB35 IH, SAN MARCOS, TX 78666
DEBUG:root:2601 RATTLER RD, SAN MARCOS, TX 78666
DEBUG:root:UHLAND RD, SAN MARCOS, TX 78666
DEBUG:root:CRADDOCK AVE, SAN MARCOS, TX 78666
DEBUG:root:1580 OLD RANCH ROAD 12, SAN MARCOS, TX 78666
DEBUG:root:2601 RATTLER RD, SAN MARCOS, TX 78666
DEBUG:root:1305 IH 35, SAN MARCOS, TX 78666
DEBUG:root:2113 RIVER RD, SAN MARCOS, TX 78666
DEBUG:root:ROBBIE LN, SAN MARCOS, TX 78666
DEBUG:root:2211 IH 35, SAN MARCOS, TX 78666
DEBUG:root:1807 AIRPORT DR, SAN MARCOS, TX 78666
DEBUG:root:206 NB, SAN MARCOS, TX 78666
DEBUG:root:1001 CREPE MYRTLE DR, SAN MARCOS, TX 78666
DEBUG:root:1702 IH 35, SAN MARCOS, TX 78666
DEBUG:root:231 TERON DR, SAN MARCOS, TX 78666
DEBUG:root:1941 IH 35, SAN MARCOS, TX 78666
DEBUG:root:100 WARDEN LN, SAN MARCOS, TX 78666
DEBUG:root:1307 UHLAND RD, SAN MARCOS, TX 78666
DEBUG:root:1200 BISHOP ST, SAN MARCOS, TX 78666
DEBUG:root:180 SPRINGTOWN WAY, SAN MARCOS, TX 78666
DEBUG:root:613 DARTMOUTH AVE, SAN MARCOS, TX 78666
DEBUG:root:4015 IH 35, SAN MARCOS, TX 78666
DEBUG:root:111 SAN ANTONIO ST, SAN MARCOS, TX 78666
DEBUG:root:1100 BELVIN ST, SAN MARCOS, TX 78666
DEBUG:root:1401 WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:1015 HWY 80, SAN MARCOS, TX 78666
DEBUG:root:220 PARKER DR, SAN MARCOS, TX 78666
DEBUG:root:1305 WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:102 IH 35, SAN MARCOS, TX 78666
DEBUG:root:220 PARKER DR, SAN MARCOS, TX 78666
DEBUG:root:1720 OLD RANCH ROAD 12, SAN MARCOS, TX 78666
DEBUG:root:1200 THORPE LN, SAN MARCOS, TX 78666
DEBUG:root:1308 WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:220 TERON DR, SAN MARCOS, TX 78666
DEBUG:root:204 NB, SAN MARCOS, TX 78666
DEBUG:root:627 HOPKINS ST, SAN MARCOS, TX 78666
DEBUG:root:1019 HWY 80, SAN MARCOS, TX 78666
DEBUG:root:925 HWY 80, SAN MARCOS, TX 78666
DEBUG:root:904 DALE DR, SAN MARCOS, TX 78666
DEBUG:root:RIVER RD, SAN MARCOS, TX 78666
DEBUG:root:1900 MEDICAL PKWY, SAN MARCOS, TX 78666
DEBUG:root:2600 HUNTER RD, SAN MARCOS, TX 78666
DEBUG:root:HWY 80, SAN MARCOS, TX 78666
DEBUG:root:2013 NORTH VIEW DR, SAN MARCOS, TX 78666
DEBUG:root:1029 HAYNES ST, SAN MARCOS, TX 78666
DEBUG:root:300 PATRICIA DR, SAN MARCOS, TX 78666
DEBUG:root:1807 HWY 21 DR, SAN MARCOS, TX 78666
DEBUG:root:1334 IH 35, SAN MARCOS, TX 78666
DEBUG:root:206 NB, SAN MARCOS, TX 78666
DEBUG:root:1720 OLD RANCH ROAD 12, SAN MARCOS, TX 78666
DEBUG:root:109 WEDGEWOOD WAY, SAN MARCOS, TX 78666
DEBUG:root:1053 CLOVIS BARKER RD, SAN MARCOS, TX 78666
DEBUG:root:1420 OLD RANCH ROAD 12, SAN MARCOS, TX 78666
DEBUG:root:205 NB, SAN MARCOS, TX 78666
DEBUG:root:1351 SADLER DR, SAN MARCOS, TX 78666
DEBUG:root:1000 BURLESON ST, SAN MARCOS, TX 78666
DEBUG:root:1720 OLD RANCH ROAD 12, SAN MARCOS, TX 78666
DEBUG:root:105 WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:206 SB, SAN MARCOS, TX 78666
DEBUG:root:105 IH 35, SAN MARCOS, TX 78666
DEBUG:root:109 RIVIERA ST, SAN MARCOS, TX 78666
DEBUG:root:1004 HWY 123, SAN MARCOS, TX 78666
DEBUG:root:1401 WONDER WORLD DR, SAN MARCOS, TX 78666
DEBUG:root:209 ACCESS RD, SAN MARCOS, TX 78666
DEBUG:root:338 GUADALUPE ST, SAN MARCOS, TX 78666
