# of Units,Date,Description,Address,Location Type
1,1/1/18 3:33,"Medical assist, assist EMS crew",1850  Aquarena Springs DR ,Multifamily dwellings
0,1/1/18 3:59,"EMS call, excluding vehicle accident with injury",1307  Uhland RD ,"Jail, prison (not juvenile)"
0,1/1/18 4:48,Assist police or other governmental agency,204  Sb35 IH ,Highway or divided highway
2,1/1/18 5:07,No incident found on arrival at dispatch address,1610 N IH 35  ,Multifamily dwellings
2,1/1/18 6:03,No incident found on arrival at dispatch address,1610 N IH 35  ,Multifamily dwellings
2,1/1/18 14:13,Smoke detector activation due to malfunction,1850  Aquarena Springs DR ,Multifamily dwellings
2,1/1/18 18:49,Building fire,501 W Center ST ,1 or 2 family dwelling
1,1/1/18 21:49,"EMS call, excluding vehicle accident with injury",306  Durango ST ,1 or 2 family dwelling
1,1/1/18 22:30,"EMS call, excluding vehicle accident with injury",338 S Guadalupe ST ,Bus station
2,1/1/18 23:52,"Good intent call, other",201  Telluride ST ,1 or 2 family dwelling
2,1/2/18 0:35,"Good intent call, other",1980  Aquarena Springs DR ,Multifamily dwellings
1,1/2/18 0:39,"Medical assist, assist EMS crew",1011  Wonder World DR ,Multifamily dwellings
2,1/2/18 0:41,Vehicle accident with injuries,204  Sb35 IH ,Highway or divided highway
2,1/2/18 6:12,"Alarm system sounded, no fire - unintentional",2601  Rattler RD ,High school/junior high school/middle school
1,1/2/18 11:04,Gas leak (natural gas or LPG),  Uhland RD ,Vacant lot
2,1/2/18 11:15,"Outside rubbish fire, other",  Craddock AVE ,Highway or divided highway
1,1/2/18 11:23,"Medical assist, assist EMS crew",1580  Old Ranch Road 12  ,Highway or divided highway
4,1/2/18 13:23,Grass fire,2601  Rattler RD ,Highway or divided highway
6,1/2/18 19:55,Building fire - Residential,650  River RD ,Multifamily dwellings
1,1/2/18 22:29,"Detector activation, no fire - unintentional",1305 S IH 35  ,Restaurant or cafeteria
1,1/3/18 0:25,"EMS call, excluding vehicle accident with injury",2113  River RD ,1 or 2 family dwelling
1,1/3/18 6:42,Motor vehicle/pedestrian accident (MV Ped),  Robbie LN ,Street or road in commercial area
1,1/3/18 12:23,"EMS call, excluding vehicle accident with injury",1951  Aquarena Springs DR ,Multifamily dwellings
3,1/3/18 12:50,"Sprinkler activation, no fire - unintentional",2211 S IH 35  ,Department or discount store
3,1/3/18 14:39,Aircraft standby,1807  Airport DR ,Aircraft runway
2,1/3/18 15:03,"Sprinkler activation, no fire - unintentional",1701  Mill ST ,Clubhouse
0,1/3/18 15:30,"EMS call, excluding vehicle accident with injury",1506 S IH 35  ,Multifamily dwellings
1,1/3/18 16:45,"EMS call, excluding vehicle accident with injury",1800  Post RD ,Multifamily dwellings
2,1/3/18 17:40,Assist police or other governmental agency,206  NB  ,Highway or divided highway
