Incident_Nr,TimeReported,Activity,Disposition,Officer,Location
190000000011,1/1/2019  12:27:31 AM,Accident - Minor,Blue Form Issue,"Murphy, Logan",2041 S IH 35
190000000015,1/1/2019  12:37:24 AM,Assist Outside Agency,Report,"Taylor, Michael",2300 S IH 35
190000000016,1/1/2019  12:37:38 AM,Disturbance - Noise,Verbal Warning,"Saavedra, Tim",503 Uhland Rd
190000000017,1/1/2019  12:41:12 AM,Disturbance - Phys/Fight,Arrest,"Murphy, Logan",1704 Ramona Cir
190000000031,1/1/2019  1:13:40 AM,Disturbance - Verbal,Arrest,"Williams, Jack",519 Lockwood Dr
190000000034,1/1/2019  1:25:02 AM,Investigation,Citation Issued,"Tureaud, Benjamin",120 E San Antonio St
190000000038,1/1/2019  1:33:46 AM,Assault - Aggravated,Report,"Williams, Jack",1701 Mill St
190000000040,1/1/2019  1:39:26 AM,Disturbance - Phys/Fight,Multiple Arrest,"Loring, Elizabeth",201 W San Antonio St
190000000042,1/1/2019  1:57:43 AM,Accident - Unknown,Report,"Jackson, Phillip",Hwy 123/Staples Rd
190000000045,1/1/2019  2:13:07 AM,Disturbance - Phys/Fight,Arrest,"Taylor, Michael",930 N IH 35
190000000047,1/1/2019  2:16:33 AM,Attempt to Locate,Ref oth Agncy,,Hwy 21/Hwy 80
190000000049,1/1/2019  2:18:00 AM,Disturbance - Noise,Verbal Warning,"Alvarado, Manuel",387 Bridlewood Dr
190000000055,1/1/2019  2:31:55 AM,Disturbance - Noise,Verbal Warning,"Royal, GeCorrie",1350 Sadler Dr
190000000059,1/1/2019  3:01:18 AM,Investigation,Citation Issued,"Alvarado, Manuel",350 N Guadalupe St
190000000062,1/1/2019  3:25:31 AM,Accident - Hit and Run,Arrest,"Murphy, Logan",Riverside Dr/W Access Rd
190000000070,1/1/2019  4:34:49 AM,Disturbance - Verbal,Citation Issued,"Murphy, Logan",729 Oscar Smith St
190000000074,1/1/2019  6:08:38 AM,Disturbance - Verbal,Arrest,"Collier, Greg",1629 Post Rd
190000000084,1/1/2019  11:08:28 AM,Accident - Hit and Run,Blue Form Issue,"Sembera, Jeremy",935 Cheatham St
190000000093,1/1/2019  1:40:04 PM,Vehicle Theft,Ref oth Agncy,"Arredondo, Danny",2300 S IH 35
190000000106,1/1/2019  3:20:05 PM,Information,Ref oth Agncy,"Arredondo, Danny",2300 S IH 35
190000000111,1/1/2019  4:32:06 PM,Disturbance - Noise,Verbal Warning,"Taylor, Michael",1350 Sadler Dr
190000000113,1/1/2019  4:43:19 PM,Property - Lost/Found/Imp,Refer To COPR,,200 W Hopkins St
190000000114,1/1/2019  5:07:37 PM,Assault,Report,"Loring, Elizabeth",1020 Sycamore St
190000000122,1/1/2019  6:11:55 PM,Civil Matter,Ref oth Agncy,,2300 S IH 35
190000000161,1/1/2019  11:06:59 PM,Accident - Hit and Run,Blue Form Issue,"Alvarado, Manuel",804 Chestnut St
190000000197,1/2/2019  6:52:19 AM,Assault - Aggravated,Report,"Gibson, Kathryn",1107 San Marcos Pkwy
190000000208,1/2/2019  8:37:55 AM,Sexual Assault - Agg,Report,"Rose, Renaldo",1500blk S IH 35
190000000209,1/2/2019  8:44:08 AM,Burglary - Vehicle,Report,"Marroquin, Christopher",426 Linda Dr
190000000212,1/2/2019  9:09:50 AM,Assault,Arrest,"Anderson, Dillan",2917 Hunter Rd
190000000223,1/2/2019  10:42:55 AM,Accident - Minor,Blue Form Issue,"Germer, Christopher",Clark Ave/Ramsay St
190000000226,1/2/2019  11:02:10 AM,Accident - Minor,Report,"Crook, Daniel",210 S Stagecoach Trl
190000000234,1/2/2019  12:12:12 PM,Burglary - Vehicle,Report,"Gibson, Kathryn",1350 Leah Ave
190000000238,1/2/2019  12:41:11 PM,Attempt to Locate,Ref oth Agncy,"Rose, Renaldo",202 NB
190000000245,1/2/2019  1:45:04 PM,Accident - Unknown,Report,"Rose, Renaldo",Thorpe Ln/Aquarena Springs Dr
190000000246,1/2/2019  1:46:55 PM,Traff/Transport Accident,No Patient Tran,"George, Stacie",Thorpe Ln/Aquarena Springs Dr
190000000251,1/2/2019  2:26:09 PM,Accident - Unknown,Report,"Gibson, Kathryn",Old Ranch Road 12/Hughson Dr
190000000254,1/2/2019  2:42:46 PM,Accident - Major/Injury,Report,"Anderson, Dillan",1500blk S IH 35
190000000255,1/2/2019  2:49:57 PM,Fraud,Report,"Marroquin, Christopher",209 N IH 35
190000000256,1/2/2019  2:56:21 PM,Accident - Minor,Report,"Marroquin, Christopher",200 N IH 35
190000000263,1/2/2019  4:35:41 PM,Accident - Major/Injury,Report,"Seals, Bradley",1000blk Hwy 123
190000000264,1/2/2019  4:37:31 PM,Burglary - Vehicle,Report,"Anderson, Dillan",100 N IH 35
190000000282,1/2/2019  7:26:45 PM,Fraud,Report,"Poorboy, Duwayne",209 N IH 35
190000000283,1/2/2019  7:27:10 PM,Fraud,Report,"Poorboy, Duwayne",209 N IH 35
190000000284,1/2/2019  7:27:25 PM,Fraud,Report,"Poorboy, Duwayne",209 N IH 35
190000000285,1/2/2019  7:27:46 PM,Fraud,Report,"Poorboy, Duwayne",209 N IH 35
190000000288,1/2/2019  7:38:45 PM,Burglary - Vehicle,Refer To COPR,"Seals, Bradley",3939 S IH 35
190000000290,1/2/2019  7:45:42 PM,Accident - Minor,Blue Form Issue,,AXL01167 SW SECTOR - AT&T MOBILITYMOBILI
190000000294,1/2/2019  8:32:53 PM,Theft,Report,"Seals, Bradley",2211 S IH 35
190000000305,1/2/2019  9:29:29 PM,Public Intoxication,Arrest,"Williamson, Jamie",930 N IH 35
190000000328,1/3/2019  12:46:17 AM,Suspicious Person,Multiple Arrest,"Melendrez, Jacinto",120 Blair Ct
190000000339,1/3/2019  3:09:34 AM,Discharged Firearm,Report,"Melendrez, Jacinto",300blk Lee St
190000000353,1/3/2019  6:49:28 AM,Criminal Mischief,Report,"Anderson, Dillan",126 N LBJ Dr
190000000369,1/3/2019  9:01:23 AM,Mental Health Invest,Report,"Sheridan, Grant",1301 Wonder World Dr
190000000370,1/3/2019  9:06:48 AM,Trespassing/Unwanted,Arrest,"Anderson, Dillan",105 N IH 35
190000000375,1/3/2019  9:44:53 AM,Attempt to Locate,Ref oth Agncy,,200 SB
190000000395,1/3/2019  11:33:02 AM,Suspicious Person,Warning,"Rose, Renaldo",1610 Parkview Ln
190000000416,1/3/2019  1:30:38 PM,Burglary - Habitation,Report,"Rose, Renaldo",1111 Avalon Ave
190000000421,1/3/2019  1:49:38 PM,Harassment,Report,"Tennant, Casey",2300 S IH 35
190000000423,1/3/2019  1:56:21 PM,Theft,Report,"Dehkordi, John",1701 Mill St
190000000425,1/3/2019  2:28:31 PM,Credit/Debit Abuse,Report,"Tennant, Casey",2300 S IH 35
190000000460,1/3/2019  5:23:08 PM,Criminal Mischief,Warning,"Germer, Christopher",222 Ramsay St
190000000468,1/3/2019  5:39:14 PM,Accident - Minor,Blue Form Issue,"Seals, Bradley",E McCarty Ln/E Access Rd
190000000474,1/3/2019  6:09:38 PM,Unconscious/Fainting,Patient Trans,"Holy, Alexander",208 S Guadalupe St
