"Situs","ref_id","SitusLocation","CurrMarketValue","lon","lat","OwnerName","Address1","Address2","Address3","City","State","Zip","OwnershipPercent"
"600 LEAH AVE, SAN MARCOS, TX  78666","R90006","THE WELLINGTON",6355641,-97.944405,29.857077,"GALVESTON VILLA MARINA LTD","% JAMES A BRANFIELD SR","161 W SHADOWBEND AVE #100",NA,"FRIENDSWOOD","TX","77546",100
"1230 N LBJ DR, SAN MARCOS, TX  78666","R46073","HILL COUNTRY APTS",8711740,-97.944006,29.8973765,"SAN MARCOS GROSS FAMILY LP","4709 HILLSBORO CIR",NA,NA,"SANTA ROSA","CA","95405-8776",100
"1900 AQUARENA SPRINGS DR, SAN MARCOS, TX  78666","R63204","RIVER OAKS VILLAS",12808676,-97.9046648,29.8904825,"ARV SAN MARCOS","231 FULTON ST W",NA,NA,"GRAND RAPIDS","MI","49503-2668",100
"222 RAMSAY ST, SAN MARCOS, TX  78666","R10383","ICONIC VILLAGE",2236590,-97.9424985,29.8969013,"SAN MARCOS GREEN INVESTORS LLC","73 W MONROE ST","STE 507",NA,"CHICAGO","IL","60603-4910",100
"817 CHESTNUT ST, SAN MARCOS, TX  78666","R140973","ELLA LOFTS",21618315,-97.9425165,29.8927522,"ELLA LOFTS FUNDING COMPANY LLC","8 S SERVICE RD","STE 120",NA,"MELVILLE","NY","11747",100
"1000 N LBJ DR, SAN MARCOS, TX  78666","R24556","VINTAGE PADS",2128813,-97.9422824,29.8952581,"SAN MARCOS GREEN INVESTORS LLC","73 W MONROE ST","STE 507",NA,"CHICAGO","IL","60603-4910",100
"205 CRADDOCK AVE, SAN MARCOS, TX  78666","R32427","LANGTRY APTS",2348600,-97.9581376,29.9009232,"LANGTRY GROUP LTD","1801 CHALK ROCK CV",NA,NA,"AUSTIN","TX","78735-1733",100
"1354 THORPE LN, SAN MARCOS, TX  78666","R140989","UPTOWN SQUARE APTS",40158730,-97.9187292,29.8896171,"SAN MARCOS STUDENT LIVING DST","PO BOX 3666","ATTN: PROPERTY TAX DEPT",NA,"OAK BROOK","IL","60522-3666",100
"1476 E MCCARTY LN, SAN MARCOS, TX  78666","R160394","MCCARTY COMMONS",2609070,-97.9664503,29.8346375,"MCCCARTY MF1 LLC","3710 RAWLINS ST","STE 1390",NA,"DALLAS","TX","75219",100
"1011 N LBJ, SAN MARCOS, TX  78666","R134856","PEACHTREE LOFTS",1686848,-97.9437519,29.8950015,"FRY VENTURES LLC","DBA PEACHTREE LOFTS","23165 HANGING OAK",NA,"SAN ANTONIO","TX","78266",100
