Incident_Nr,TimeReported,Activity,Disposition,Officer,Location
190000000001,1/1/2019  12:01:01 AM,Fireworks,No Report,"Saavedra, Tim",Jackson Ln/Thorpe Ln
190000000002,1/1/2019  12:02:04 AM,Fireworks,No Report,"Williams, Jack",1401 Harper Dr
190000000003,1/1/2019  12:05:50 AM,Fireworks,Unfounded,,1350 Sadler Dr
190000000005,1/1/2019  12:09:59 AM,Fireworks,No Report,"Saavedra, Tim",1011 Uhland Rd
190000000007,1/1/2019  12:15:51 AM,Fireworks,Unfounded,,289 Silver Peak Dr
190000000008,1/1/2019  12:17:07 AM,Fireworks,Unfounded,,1506 S IH 35
190000000011,1/1/2019  12:27:31 AM,Accident - Minor,Blue Form Issue,"Murphy, Logan",2041 S IH 35
190000000012,1/1/2019  12:30:29 AM,Suspicious Person,No Report,"Taylor, Michael",1504 Parkview Ln
190000000014,1/1/2019  12:33:00 AM,Fireworks,Unfounded,,1001 Leah Ave
190000000015,1/1/2019  12:37:24 AM,Assist Outside Agency,Report,"Taylor, Michael",2300 S IH 35
190000000016,1/1/2019  12:37:38 AM,Disturbance - Noise,Verbal Warning,"Saavedra, Tim",503 Uhland Rd
190000000017,1/1/2019  12:41:12 AM,Disturbance - Phys/Fight,Arrest,"Murphy, Logan",1704 Ramona Cir
190000000019,1/1/2019  12:49:39 AM,Fireworks,No Report,,1701 Mill St
190000000020,1/1/2019  12:52:14 AM,Disturbance - Noise,No Report,"Williams, Jack",100blk Riviera St
190000000021,1/1/2019  12:52:26 AM,Suspicious Vehicle,No Report,"Alvarado, Manuel",555 Cheatham St
190000000022,1/1/2019  12:54:31 AM,Welfare Concern,No Report,"Loring, Elizabeth",1101 Leah Ave
190000000023,1/1/2019  12:56:13 AM,Fireworks,Unfounded,,100blk Canyon Rd
190000000024,1/1/2019  12:56:33 AM,Disturbance - Phys/Fight,No Report,"Alvarado, Manuel",1951 Aquarena Springs Dr
190000000026,1/1/2019  12:58:12 AM,Disturbance - Noise,Unfounded,"Royal, GeCorrie",1350 Sadler Dr
190000000027,1/1/2019  1:00:29 AM,Information,No Report,,2300 S IH 35
190000000029,1/1/2019  1:09:11 AM,Fireworks,No Report,"Williams, Jack",1142 Hilltop Dr
190000000030,1/1/2019  1:09:44 AM,Assault,No Contact,"Alvarado, Manuel",1111 Avalon Ave
190000000031,1/1/2019  1:13:40 AM,Disturbance - Verbal,Arrest,"Williams, Jack",519 Lockwood Dr
190000000032,1/1/2019  1:17:46 AM,Welfare Concern,No Report,"Loring, Elizabeth",100blk W San Antonio St
190000000034,1/1/2019  1:25:02 AM,Investigation,Citation Issued,"Tureaud, Benjamin",120 E San Antonio St
190000000036,1/1/2019  1:29:25 AM,Foot Patrol,No Report,"Loring, Elizabeth",W San Antonio St/Guadalupe St
190000000037,1/1/2019  1:30:04 AM,Disturbance - Phys/Fight,Cancelled,,127 E Hopkins St
190000000038,1/1/2019  1:33:46 AM,Assault - Aggravated,Report,"Williams, Jack",1701 Mill St
190000000040,1/1/2019  1:39:26 AM,Disturbance - Phys/Fight,Multiple Arrest,"Loring, Elizabeth",201 W San Antonio St
190000000042,1/1/2019  1:57:43 AM,Accident - Unknown,Report,"Jackson, Phillip",Hwy 123/Staples Rd
190000000043,1/1/2019  2:02:47 AM,Attempt to Locate,No Report,,E San Antonio St/C M Allen Pkwy
190000000044,1/1/2019  2:08:50 AM,Attempt to Locate,No Report,,W Access Rd/S Guadalupe St
190000000045,1/1/2019  2:13:07 AM,Disturbance - Phys/Fight,Arrest,"Taylor, Michael",930 N IH 35
190000000046,1/1/2019  2:13:37 AM,Burglary - Habitation,No Report,"Taylor, Michael",1450 River Rd
190000000047,1/1/2019  2:16:33 AM,Attempt to Locate,Ref oth Agncy,,Hwy 21/Hwy 80
190000000049,1/1/2019  2:18:00 AM,Disturbance - Noise,Verbal Warning,"Alvarado, Manuel",387 Bridlewood Dr
190000000050,1/1/2019  2:18:42 AM,Disturbance - Phys/Fight,No Report,"Kennedy, Kye",150 S LBJ Dr
190000000051,1/1/2019  2:21:19 AM,Fireworks,No Report,"Contreras, Ysidro",100blk Windmill Dr
190000000052,1/1/2019  2:25:31 AM,Investigation,No Report,"Saavedra, Tim",S LBJ Dr/MLK Dr
190000000053,1/1/2019  2:25:37 AM,Welfare Concern,No Report,"Tureaud, Benjamin",141 E Hopkins St
190000000054,1/1/2019  2:27:26 AM,Disturbance - Verbal,No Report,"Williams, Jack",1150 E River Ridge Pkwy
190000000055,1/1/2019  2:31:55 AM,Disturbance - Noise,Verbal Warning,"Royal, GeCorrie",1350 Sadler Dr
190000000056,1/1/2019  2:42:36 AM,Trespassing/Unwanted,No Report,"Contreras, Ysidro",339 N Guadalupe St
190000000057,1/1/2019  2:43:09 AM,Suspicious Person,No Report,"Williams, Jack",404 S LBJ Dr
190000000058,1/1/2019  2:56:29 AM,Disturbance - Verbal,No Report,"Williams, Jack",1005 N IH 35
190000000059,1/1/2019  3:01:18 AM,Investigation,Citation Issued,"Alvarado, Manuel",350 N Guadalupe St
190000000061,1/1/2019  3:08:08 AM,Disturbance - Verbal,No Report,"Murphy, Logan",509 Easton Dr
190000000062,1/1/2019  3:25:31 AM,Accident - Hit and Run,Arrest,"Murphy, Logan",Riverside Dr/W Access Rd
190000000064,1/1/2019  3:32:21 AM,Investigation,No Report,"Williams, Jack",6001 Kyle Pkwy
190000000065,1/1/2019  3:51:05 AM,Suspicious Circumstances,No Report,"Royal, GeCorrie",600blk Harwood Dr
190000000066,1/1/2019  3:52:03 AM,Discharged Firearm,No Report,"Saavedra, Tim",1500blk Old Ranch Road 12
190000000068,1/1/2019  4:06:56 AM,Disturbance - Phys/Fight,No Report,"Royal, GeCorrie",1226 N LBJ Dr
190000000070,1/1/2019  4:34:49 AM,Disturbance - Verbal,Citation Issued,"Murphy, Logan",729 Oscar Smith St
190000000071,1/1/2019  4:41:09 AM,Disturbance - Phys/Fight,Unfounded,"Murphy, Logan",2913 Hunter Rd
190000000072,1/1/2019  5:27:35 AM,Public Assist,No Report,"Murphy, Logan",2900blk Hunter Rd
190000000073,1/1/2019  5:47:57 AM,Disturbance - Phys/Fight,No Report,"Williams, Jack",1629 Post Rd
190000000074,1/1/2019  6:08:38 AM,Disturbance - Verbal,Arrest,"Collier, Greg",1629 Post Rd
190000000076,1/1/2019  7:18:47 AM,Trespassing/Unwanted,No Report,"Sembera, Jeremy",104 N IH 35
190000000078,1/1/2019  10:08:33 AM,Welfare Concern,No Report,"Collier, Greg",Yarrington Rd/E Access Rd
190000000080,1/1/2019  10:27:50 AM,Information,No Report,,209 N IH 35
190000000084,1/1/2019  11:08:28 AM,Accident - Hit and Run,Blue Form Issue,"Sembera, Jeremy",935 Cheatham St
190000000086,1/1/2019  11:56:34 AM,Attempt to Locate,No Report,"Duckworth, Daniel",2200blk Hunter Rd
190000000087,1/1/2019  12:20:47 PM,Fireworks,No Report,"Sembera, Jeremy",400blk Linda Dr
